PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,time,version
objectLevel,1.32,0.005,True,7,,,True,after_each_move,1.0,full,103,,1A.1
objectLevel,2.88,0.005,True,6,,,True,after_each_move,0.01,full,104,,1A.1
objectLevel,2.75,0.005,True,7,,,True,after_each_move,1.0,full,105,,1A.1
none,3.0,0.005,True,0,,,False,after_each_move,0.01,none,106,,1A.1
objectLevel,1.17,0.005,True,8,,,True,after_each_move,2.5,full,107,,1A.1
objectLevel,1.05,0.005,True,6,18.0,8.0,True,after_each_move,0.01,full,108,1500146286779.0,1A.1
featureBased,1.4,0.005,True,5,,,True,after_each_move,2.5,full,109,,1A.1
featureBased,2.96,0.005,True,4,,,True,after_each_move,1.0,full,110,,1A.1
none,0.0,0.005,False,0,,,False,after_each_move,0.01,none,111,,1A.1
none,2.56,0.005,True,1,,,False,after_each_move,1.0,none,112,,1A.1
objectLevel,1.03,0.005,True,8,,,True,after_each_move,2.5,full,113,,1A.1
featureBased,1.39,0.005,True,5,,,True,after_each_move,2.5,full,114,,1A.1
objectLevel,1.4,0.005,True,7,,,True,after_each_move,1.0,full,115,,1A.1
none,3.01,0.005,True,1,,,False,after_each_move,1.0,none,116,,1A.1
objectLevel,3.06,0.005,True,7,,,True,after_each_move,1.0,full,117,,1A.1
objectLevel,1.14,0.005,True,8,,,True,after_each_move,2.5,full,118,,1A.1
none,1.01,0.005,True,2,,,False,after_each_move,2.5,none,119,,1A.1
featureBased,2.84,0.005,True,3,,,True,after_each_move,0.01,full,120,,1A.1
objectLevel,0.76,0.005,True,8,,,True,after_each_move,2.5,full,121,,1A.1
featureBased,0.0,0.005,False,5,,,True,after_each_move,2.5,full,122,,1A.1
objectLevel,3.06,0.005,True,7,,,True,after_each_move,1.0,full,123,,1A.1
objectLevel,2.69,0.005,True,7,,,True,after_each_move,1.0,full,124,,1A.1
none,1.31,0.005,True,2,,,False,after_each_move,2.5,none,125,,1A.1
none,0.82,0.005,True,2,,,False,after_each_move,2.5,none,126,,1A.1
objectLevel,1.02,0.005,True,8,18.0,8.0,True,after_each_move,2.5,full,127,1500135674427.0,1A.1
objectLevel,2.62,0.005,True,7,18.0,8.0,True,after_each_move,1.0,full,128,1500136885572.0,1A.1
objectLevel,2.67,0.005,True,7,,,True,after_each_move,1.0,full,129,,1A.1
featureBased,2.11,0.005,True,4,,,True,after_each_move,1.0,full,130,,1A.1
none,1.17,0.005,True,2,,,False,after_each_move,2.5,none,131,,1A.1
none,1.13,0.005,True,2,,,False,after_each_move,2.5,none,132,,1A.1
none,2.7,0.005,True,0,,,False,after_each_move,0.01,none,133,,1A.1
objectLevel,1.5,0.005,True,6,,,True,after_each_move,0.01,full,134,,1A.1
none,0.44,0.005,True,2,,,False,after_each_move,2.5,none,135,,1A.1
featureBased,1.73,0.005,True,4,18.0,8.0,True,after_each_move,1.0,full,136,1500138557328.0,1A.1
none,1.09,0.005,True,2,,,False,after_each_move,2.5,none,137,,1A.1
featureBased,2.8,0.005,True,3,,,True,after_each_move,0.01,full,138,,1A.1
none,0.58,0.005,True,2,,,False,after_each_move,2.5,none,139,,1A.1
objectLevel,2.38,0.005,True,6,,,True,after_each_move,0.01,full,140,,1A.1
featureBased,0.0,0.005,False,5,,,True,after_each_move,2.5,full,141,,1A.1
featureBased,1.07,0.005,True,5,,,True,after_each_move,2.5,full,142,,1A.1
objectLevel,2.96,0.005,True,6,,,True,after_each_move,0.01,full,143,,1A.1
featureBased,2.71,0.005,True,3,,,True,after_each_move,0.01,full,144,,1A.1
objectLevel,1.07,0.005,True,8,18.0,8.0,True,after_each_move,2.5,full,145,1500139516814.0,1A.1
featureBased,0.69,0.005,True,5,,,True,after_each_move,2.5,full,146,,1A.1
featureBased,0.0,0.005,False,3,,,True,after_each_move,0.01,full,147,,1A.1
featureBased,0.0,0.005,False,5,,,True,after_each_move,2.5,full,148,,1A.1
featureBased,0.0,0.005,False,5,,,True,after_each_move,2.5,full,149,,1A.1
objectLevel,0.0,0.005,False,6,,,True,after_each_move,0.01,full,150,,1A.1
featureBased,2.22,0.005,True,4,,,True,after_each_move,1.0,full,151,,1A.1
objectLevel,1.75,0.005,True,7,,,True,after_each_move,1.0,full,152,,1A.1
featureBased,0.83,0.005,True,5,,,True,after_each_move,2.5,full,153,,1A.1
objectLevel,0.89,0.005,True,8,,,True,after_each_move,2.5,full,154,,1A.1
none,1.45,0.005,True,2,,,False,after_each_move,2.5,none,155,,1A.1
featureBased,2.58,0.005,True,3,,,True,after_each_move,0.01,full,156,,1A.1
featureBased,1.2,0.005,True,5,,,True,after_each_move,2.5,full,157,,1A.1
objectLevel,2.78,0.005,True,6,,,True,after_each_move,0.01,full,158,,1A.1
none,0.0,0.005,False,2,,,False,after_each_move,2.5,none,159,,1A.1
objectLevel,3.35,0.005,True,7,,,True,after_each_move,1.0,full,160,,1A.1
none,3.25,0.005,True,1,,,False,after_each_move,1.0,none,161,,1A.1
objectLevel,2.94,0.005,True,7,18.0,8.0,True,after_each_move,1.0,full,162,1500135555963.0,1A.1
featureBased,0.0,0.005,False,5,,,True,after_each_move,2.5,full,163,,1A.1
none,0.0,0.005,False,1,,,False,after_each_move,1.0,none,164,,1A.1
objectLevel,2.76,0.005,True,6,,,True,after_each_move,0.01,full,165,,1A.1
featureBased,3.0,0.005,True,4,,,True,after_each_move,1.0,full,166,,1A.1
featureBased,0.89,0.005,True,5,,,True,after_each_move,2.5,full,167,,1A.1
objectLevel,1.55,0.005,True,7,,,True,after_each_move,1.0,full,168,,1A.1
objectLevel,1.08,0.005,True,7,,,True,after_each_move,1.0,full,169,,1A.1
featureBased,1.75,0.005,True,3,,,True,after_each_move,0.01,full,170,,1A.1
featureBased,3.18,0.005,True,4,,,True,after_each_move,1.0,full,171,,1A.1
featureBased,0.44,0.005,True,5,,,True,after_each_move,2.5,full,172,,1A.1
none,2.98,0.005,True,0,,,False,after_each_move,0.01,none,173,,1A.1
featureBased,3.12,0.005,True,4,,,True,after_each_move,1.0,full,174,,1A.1
none,1.95,0.005,True,0,,,False,after_each_move,0.01,none,175,,1A.1
featureBased,0.66,0.005,True,5,,,True,after_each_move,2.5,full,176,,1A.1
featureBased,1.01,0.005,True,5,,,True,after_each_move,2.5,full,177,,1A.1
none,1.3,0.005,True,2,,,False,after_each_move,2.5,none,178,,1A.1
objectLevel,0.0,0.005,False,6,,,True,after_each_move,0.01,full,179,,1A.1
objectLevel,3.26,0.005,True,7,,,True,after_each_move,1.0,full,180,,1A.1
objectLevel,2.38,0.005,True,6,,,True,after_each_move,0.01,full,181,,1A.1
featureBased,0.67,0.005,True,4,,,True,after_each_move,1.0,full,182,,1A.1
none,1.27,0.005,True,2,,,False,after_each_move,2.5,none,183,,1A.1
objectLevel,2.88,0.005,True,6,,,True,after_each_move,0.01,full,184,,1A.1
none,1.33,0.005,True,1,,,False,after_each_move,1.0,none,185,,1A.1
objectLevel,2.88,0.005,True,6,,,True,after_each_move,0.01,full,186,,1A.1
none,0.0,0.005,False,1,,,False,after_each_move,1.0,none,187,,1A.1
featureBased,1.53,0.005,True,5,,,True,after_each_move,2.5,full,188,,1A.1
featureBased,2.85,0.005,True,3,,,True,after_each_move,0.01,full,189,,1A.1
none,2.81,0.005,True,0,,,False,after_each_move,0.01,none,190,,1A.1
none,1.12,0.005,True,2,18.0,8.0,False,after_each_move,2.5,none,191,1500136079520.0,1A.1
featureBased,0.59,0.005,True,5,,,True,after_each_move,2.5,full,192,,1A.1
objectLevel,2.99,0.005,True,6,,,True,after_each_move,0.01,full,193,,1A.1
featureBased,2.44,0.005,True,4,,,True,after_each_move,1.0,full,194,,1A.1
featureBased,0.99,0.005,True,5,,,True,after_each_move,2.5,full,195,,1A.1
objectLevel,0.83,0.005,True,8,,,True,after_each_move,2.5,full,196,,1A.1
objectLevel,1.06,0.005,True,6,18.0,8.0,True,after_each_move,0.01,full,197,1500135129453.0,1A.1
objectLevel,2.99,0.005,True,6,,,True,after_each_move,0.01,full,198,,1A.1
objectLevel,1.86,0.005,True,7,,,True,after_each_move,1.0,full,199,,1A.1
none,2.9,0.005,True,1,,,False,after_each_move,1.0,none,200,,1A.1
objectLevel,3.0,0.005,True,6,,,True,after_each_move,0.01,full,201,,1A.1
none,1.94,0.005,True,0,,,False,after_each_move,0.01,none,202,,1A.1
none,1.27,0.005,True,2,,,False,after_each_move,2.5,none,203,,1A.1
featureBased,0.65,0.005,True,5,,,True,after_each_move,2.5,full,204,,1A.1
none,1.32,0.005,True,0,,,False,after_each_move,0.01,none,205,,1A.1
none,1.52,0.005,True,2,18.0,8.0,False,after_each_move,2.5,none,206,1500138325730.0,1A.1
none,1.25,0.005,True,1,,,False,after_each_move,1.0,none,207,,1A.1
objectLevel,1.95,0.005,True,7,,,True,after_each_move,1.0,full,208,,1A.1
objectLevel,1.07,0.005,True,6,18.0,8.0,True,after_each_move,0.01,full,209,1500143391438.0,1A.1
none,1.71,0.005,True,0,,,False,after_each_move,0.01,none,210,,1A.1
featureBased,2.99,0.005,True,3,,,True,after_each_move,0.01,full,211,,1A.1
objectLevel,2.57,0.005,True,7,,,True,after_each_move,1.0,full,212,,1A.1
objectLevel,2.99,0.005,True,6,,,True,after_each_move,0.01,full,213,,1A.1
none,2.87,0.005,True,0,,,False,after_each_move,0.01,none,214,,1A.1
none,0.0,0.005,False,2,,,False,after_each_move,2.5,none,215,,1A.1
featureBased,0.59,0.005,True,5,,,True,after_each_move,2.5,full,216,,1A.1
featureBased,2.53,0.005,True,4,,,True,after_each_move,1.0,full,217,,1A.1
none,0.99,0.005,True,2,,,False,after_each_move,2.5,none,218,,1A.1
objectLevel,3.0,0.005,True,6,,,True,after_each_move,0.01,full,219,,1A.1
featureBased,0.0,0.005,False,3,,,True,after_each_move,0.01,full,220,,1A.1
none,2.07,0.005,True,0,,,False,after_each_move,0.01,none,221,,1A.1
none,1.68,0.005,True,1,18.0,8.0,False,after_each_move,1.0,none,222,1500135294938.0,1A.1
featureBased,2.18,0.005,True,4,,,True,after_each_move,1.0,full,223,,1A.1
objectLevel,2.99,0.005,True,6,18.0,8.0,True,after_each_move,0.01,full,224,1500135782689.0,1A.1
none,0.88,0.005,True,1,,,False,after_each_move,1.0,none,225,,1A.1
objectLevel,1.25,0.005,True,7,,,True,after_each_move,1.0,full,226,,1A.1
none,0.0,0.005,False,2,,,False,after_each_move,2.5,none,227,,1A.1
none,3.14,0.005,True,1,,,False,after_each_move,1.0,none,228,,1A.1
objectLevel,1.65,0.005,True,6,,,True,after_each_move,0.01,full,229,,1A.1
none,0.0,0.005,False,1,,,False,after_each_move,1.0,none,230,,1A.1
none,1.16,0.005,True,2,,,False,after_each_move,2.5,none,231,,1A.1
featureBased,2.91,0.005,True,4,,,True,after_each_move,1.0,full,232,,1A.1
featureBased,0.0,0.005,False,5,,,True,after_each_move,2.5,full,233,,1A.1
featureBased,1.39,0.005,True,3,,,True,after_each_move,0.01,full,234,,1A.1
featureBased,0.89,0.005,True,5,,,True,after_each_move,2.5,full,235,,1A.1
objectLevel,0.87,0.005,True,7,,,True,after_each_move,1.0,full,236,,1A.1
objectLevel,2.73,0.005,True,6,,,True,after_each_move,0.01,full,237,,1A.1
featureBased,2.84,0.005,True,4,,,True,after_each_move,1.0,full,238,,1A.1
featureBased,2.89,0.005,True,4,18.0,8.0,True,after_each_move,1.0,full,239,1500138084728.0,1A.1
none,2.22,0.005,True,1,,,False,after_each_move,1.0,none,240,,1A.1
none,0.8,0.005,True,2,,,False,after_each_move,2.5,none,241,,1A.1
featureBased,0.0,0.005,False,4,,,True,after_each_move,1.0,full,242,,1A.1
objectLevel,0.54,0.005,True,8,,,True,after_each_move,2.5,full,243,,1A.1
none,2.87,0.005,True,0,,,False,after_each_move,0.01,none,244,,1A.1
objectLevel,1.36,0.005,True,7,,,True,after_each_move,1.0,full,245,,1A.1
featureBased,2.29,0.005,True,3,,,True,after_each_move,0.01,full,246,,1A.1
none,1.86,0.005,True,1,,,False,after_each_move,1.0,none,247,,1A.1
featureBased,0.83,0.005,True,5,,,True,after_each_move,2.5,full,248,,1A.1
none,2.7,0.005,True,1,,,False,after_each_move,1.0,none,249,,1A.1
featureBased,0.94,0.005,True,5,,,True,after_each_move,2.5,full,250,,1A.1
none,0.0,0.005,False,1,,,False,after_each_move,1.0,none,251,,1A.1
objectLevel,0.0,0.005,True,8,,,True,after_each_move,2.5,full,252,,1A.1
none,1.8,0.005,True,0,18.0,8.0,False,after_each_move,0.01,none,253,1500134984749.0,1A.1
featureBased,2.98,0.005,True,3,18.0,8.0,True,after_each_move,0.01,full,254,1500139402620.0,1A.1
objectLevel,2.94,0.005,True,7,,,True,after_each_move,1.0,full,255,,1A.1
featureBased,0.69,0.005,True,5,,,True,after_each_move,2.5,full,256,,1A.1
featureBased,2.99,0.005,True,3,,,True,after_each_move,0.01,full,257,,1A.1
featureBased,2.98,0.005,True,3,,,True,after_each_move,0.01,full,258,,1A.1
objectLevel,3.45,0.005,True,7,,,True,after_each_move,1.0,full,259,,1A.1
featureBased,2.99,0.005,True,3,,,True,after_each_move,0.01,full,260,,1A.1
featureBased,3.0,0.005,True,3,,,True,after_each_move,0.01,full,261,,1A.1
none,1.41,0.005,True,0,,,False,after_each_move,0.01,none,262,,1A.1
featureBased,0.0,0.005,False,4,,,True,after_each_move,1.0,full,263,,1A.1
objectLevel,0.63,0.005,True,8,,,True,after_each_move,2.5,full,264,,1A.1
none,1.67,0.005,True,1,,,False,after_each_move,1.0,none,265,,1A.1
objectLevel,0.43,0.005,True,8,18.0,8.0,True,after_each_move,2.5,full,266,1500136861085.0,1A.1
objectLevel,0.22,0.005,True,8,,,True,after_each_move,2.5,full,267,,1A.1
none,1.08,0.005,True,2,,,False,after_each_move,2.5,none,268,,1A.1
featureBased,0.94,0.005,True,5,,,True,after_each_move,2.5,full,269,,1A.1
featureBased,2.92,0.005,True,3,,,True,after_each_move,0.01,full,270,,1A.1
none,1.44,0.005,True,1,,,False,after_each_move,1.0,none,271,,1A.1
featureBased,0.99,0.005,True,5,,,True,after_each_move,2.5,full,272,,1A.1
featureBased,2.28,0.005,True,4,,,True,after_each_move,1.0,full,273,,1A.1
none,2.93,0.005,True,1,,,False,after_each_move,1.0,none,274,,1A.1
objectLevel,2.56,0.005,True,6,,,True,after_each_move,0.01,full,275,,1A.1
objectLevel,2.85,0.005,True,6,,,True,after_each_move,0.01,full,276,,1A.1
objectLevel,0.0,0.005,False,7,,,True,after_each_move,1.0,full,277,,1A.1
none,2.78,0.005,True,1,,,False,after_each_move,1.0,none,278,,1A.1
none,2.75,0.005,True,0,,,False,after_each_move,0.01,none,279,,1A.1
objectLevel,0.79,0.005,True,8,,,True,after_each_move,2.5,full,280,,1A.1
objectLevel,1.56,0.005,True,6,,,True,after_each_move,0.01,full,281,,1A.1
objectLevel,0.0,0.005,False,7,,,True,after_each_move,1.0,full,282,,1A.1
objectLevel,0.84,0.005,True,8,,,True,after_each_move,2.5,full,283,,1A.1
none,2.42,0.005,True,1,,,False,after_each_move,1.0,none,284,,1A.1
none,1.29,0.005,True,2,,,False,after_each_move,2.5,none,285,,1A.1
featureBased,2.61,0.005,True,4,,,True,after_each_move,1.0,full,286,,1A.1
featureBased,2.53,0.005,True,3,,,True,after_each_move,0.01,full,287,,1A.1
none,1.14,0.005,True,2,,,False,after_each_move,2.5,none,288,,1A.1
featureBased,1.01,0.005,True,5,,,True,after_each_move,2.5,full,289,,1A.1
featureBased,2.34,0.005,True,3,1.0,,True,after_each_move,0.01,full,290,1500110486184.0,1A.1
featureBased,2.99,0.005,True,3,,,True,after_each_move,0.01,full,291,,1A.1
featureBased,2.73,0.005,True,3,,,True,after_each_move,0.01,full,292,,1A.1
featureBased,0.0,0.005,False,3,,,True,after_each_move,0.01,full,293,,1A.1
featureBased,0.75,0.005,True,4,,,True,after_each_move,1.0,full,294,,1A.1
none,1.76,0.005,True,1,,,False,after_each_move,1.0,none,295,,1A.1
none,1.33,0.005,True,0,,,False,after_each_move,0.01,none,296,,1A.1
none,1.47,0.005,True,0,,,False,after_each_move,0.01,none,297,,1A.1
featureBased,0.64,0.005,True,5,18.0,8.0,True,after_each_move,2.5,full,298,1500142011091.0,1A.1
objectLevel,1.08,0.005,True,8,,,True,after_each_move,2.5,full,299,,1A.1
none,2.46,0.005,True,0,18.0,8.0,False,after_each_move,0.01,none,300,1500135095963.0,1A.1
none,1.09,0.005,True,0,,,False,after_each_move,0.01,none,301,,1A.1
none,0.0,0.005,False,2,,,False,after_each_move,2.5,none,302,,1A.1
objectLevel,2.73,0.005,True,6,,,True,after_each_move,0.01,full,303,,1A.1
none,0.0,0.005,False,1,,,False,after_each_move,1.0,none,304,,1A.1
objectLevel,2.83,0.005,True,6,,,True,after_each_move,0.01,full,305,,1A.1
featureBased,2.98,0.005,True,4,,,True,after_each_move,1.0,full,306,,1A.1
objectLevel,0.46,0.005,True,8,,,True,after_each_move,2.5,full,307,,1A.1
